OBJECTID,holc_id,ZONE_CODE,COUNT,AREA,MIN,MAX,MEAN
1,A1,1,1041718,26042950,-0.327993721,14.94299126,8.320908005
2,A10,2,492238,12305950,-0.280000001,49.0359726,14.2229379
3,A11,3,96555,2413875,3.315999746,22.12999153,15.60636698
4,A12,4,540360,13509000,5.510052681,15.218997,10.06316928
5,A13,5,236099,5902475,4.144005299,15.40699673,9.750799936
6,A14,6,156494,3912350,-0.330000013,18.3899765,9.00068158
7,A15,7,961226,24030650,-0.656990945,18.41399384,10.72331414
8,A2,8,280935,7023375,-0.395986795,14.02395344,4.62289705
9,A3,9,121798,3044950,-0.039999999,14.84499073,6.304900971
10,A4,10,169793,4244825,0.693009853,6.711995125,3.090926101
11,A5,11,120969,3024225,-0.383952498,8.382997513,3.10674522
12,A6,12,169054,4226350,-0.86991024,9.137990952,3.520901522
13,A7,13,203595,5089875,-1.701998472,25.53198433,7.356452331
14,A8,14,1886810,47170250,-4.974967003,17.86499214,3.484040583
15,A9,15,560795,14019875,-1.634974599,12.39498234,4.157210053
16,B1,16,332092,8302300,0.262034446,10.16299152,5.744127583
17,B10,17,189009,4725225,-2.441977024,12.96399021,4.353457417
18,B11,18,767361,19184025,-12.08399868,17.38296127,3.378021498
19,B12,19,58063,1451575,-1.763975501,15.66699123,2.92046733
20,B13,20,68638,1715950,0.311002612,20.11099434,6.791494795
21,B14,21,241625,6040625,6.857004166,17.19699669,10.96324311
22,B15,22,129726,3243150,-0.370989442,31.63599205,6.928117343
23,B16,23,200259,5006475,7.087012291,20.25998306,10.53687068
24,B17,24,1063453,26586325,3.066003799,19.20800018,10.04740459
25,B18,25,332948,8323700,-1.120000005,22.18599892,9.877787683
26,B19,26,635254,15881350,-1.120000005,35.07098389,11.83568976
27,B2,27,384984,9624600,4.657018185,14.19698715,8.887023007
28,B20,28,364688,9117200,6.793004513,17.44499779,11.2328344
29,B21,29,218957,5473925,8.32400322,16.79699516,11.83141725
30,B22,30,1157449,28936225,-0.624000013,20.10098648,9.713033165
31,B23,31,57941,1448525,4.854009151,14.3939991,8.003156818
32,B24,32,80184,2004600,8.90700531,16.14899826,12.03949083
33,B25,33,627276,15681900,-1.722998977,14.25099659,5.220099897
34,B3,34,495626,12390650,-29.20448494,13.96195412,5.5909558
35,B4,35,248728,6218200,-0.039999999,14.90499783,8.242461785
36,B5,36,45966,1149150,2.925000429,18.15399551,10.66415375
37,B6,37,304098,7602450,0.966005504,46.9039917,12.31411577
38,B7,38,125921,3148025,7.220001221,21.12596512,12.71701999
39,B8,39,241475,6036875,-7.872954845,17.67098427,5.935815885
40,B9,40,257360,6434000,-1.610000014,19.5589962,5.507365294
41,C1,41,133100,3327500,4.583999634,11.0599947,6.955804275
42,C10,42,170072,4251800,-5.418992996,7.404998779,2.961075414
43,C11,43,843044,21076100,-12.05199909,25.69299698,4.436547926
44,C12,44,1618681,40467025,-2.110905409,37.00298691,9.744474784
45,C13,45,1121960,28049000,1.375004053,27.4149971,9.168918667
46,C14,46,461877,11546925,-0.280000001,39.90994644,10.0221384
47,C15,47,406006,10150150,-0.514984846,22.3019886,12.60549543
48,C16,48,272650,6816250,-0.332991987,19.99699402,12.25572155
49,C17,49,260599,6514975,3.844007015,20.0779953,13.38947608
50,C18,50,1259000,31475000,3.400002003,15.1289978,9.092383113
51,C19,51,295290,7382250,5.860002518,14.97199917,10.71986409
52,C2,52,345764,8644100,-0.345995009,17.79099274,6.644135279
53,C20,53,221118,5527950,3.099000692,9.844974518,6.298456438
54,C21,54,151938,3798450,5.232005596,9.819997787,7.093666301
55,C3,55,106316,2657900,1.257082701,11.77398968,6.725521918
56,C4,56,326318,8157950,4.655008793,28.29368401,9.353271284
57,C5,57,83572,2089300,-0.241996169,13.72799587,8.667713841
58,C6,58,948326,23708150,0.178026989,48.78499222,11.64798874
59,C7,59,324804,8120100,4.855000973,14.8299675,9.019535218
60,C8,60,664688,16617200,3.252004623,14.29099655,8.696036284
61,C9,61,483148,12078700,-1.266979575,31.03299904,6.545932157
62,D1,62,335884,8397100,4.641001225,28.55798912,9.695095194
63,D10,63,725357,18133925,2.650001287,16.87799644,9.218216453
64,D11,64,75266,1881650,6.840006828,16.97899628,11.46148331
65,D12,65,710927,17773175,4.014008522,19.41199875,8.846814191
66,D13,66,1183236,29580900,1.147013903,11.98299885,6.111468765
67,D2,67,2094427,52360675,-0.351996303,38.70355606,8.355528022
68,D3,68,285751,7143775,5.048010349,16.83898926,10.16174382
69,D4,69,1256328,31408200,4.217001915,32.16899872,10.60940167
70,D5,70,2438932,60973300,0.034000698,30.54299927,9.07602866
71,D6,71,1757136,43928400,-5.584885597,38.69999313,9.449970158
72,D7,72,819665,20491625,0.280000001,43.69300079,12.11327232
73,D8,73,73446,1836150,4.635002613,14.41499615,8.796817295
74,D9,74,639037,15975925,4.839015961,27.83599281,10.02750658
